date,item_id,price,sales_volume
2022-01-01,item_1,150.59,62
2022-01-01,item_2,435.62,20
2022-01-02,item_1,147.06,60
2022-01-02,item_2,454.16,16
2022-01-03,item_1,151.22,64
2022-01-03,item_2,468.22,19
2022-01-04,item_1,144.89,69
2022-01-04,item_2,437.73,17
2022-01-05,item_1,153.09,61
2022-01-05,item_2,451.71,18
2022-01-06,item_1,151.42,61
2022-01-06,item_2,444.04,21
2022-01-07,item_1,150.77,70
2022-01-07,item_2,453.83,24
2022-01-08,item_1,152.95,67
2022-01-08,item_2,450.17,20
2022-01-09,item_1,155.0,61
2022-01-09,item_2,444.23,15
2022-01-10,item_1,153.04,67
2022-01-10,item_2,454.39,20
2022-01-11,item_1,144.48,62
2022-01-11,item_2,466.24,22
2022-01-12,item_1,146.16,62
2022-01-12,item_2,448.28,17
2022-01-13,item_1,148.13,66
2022-01-13,item_2,456.48,18
2022-01-14,item_1,150.08,56
2022-01-14,item_2,438.36,18
2022-01-15,item_1,151.55,57
2022-01-15,item_2,441.39,16
2022-01-16,item_1,147.82,63
2022-01-16,item_2,454.25,20
2022-01-17,item_1,150.56,62
2022-01-17,item_2,463.36,17
2022-01-18,item_1,147.73,69
2022-01-18,item_2,453.2,19
2022-01-19,item_1,148.17,63
2022-01-19,item_2,447.18,15
2022-01-20,item_1,145.78,61
2022-01-20,item_2,449.99,16
2022-01-21,item_1,147.23,76
2022-01-21,item_2,438.75,19
2022-01-22,item_1,145.94,68
2022-01-22,item_2,455.44,16
2022-01-23,item_1,147.07,69
2022-01-23,item_2,457.94,22
2022-01-24,item_1,153.16,62
2022-01-24,item_2,445.93,16
2022-01-25,item_1,147.15,67
2022-01-25,item_2,445.77,17
2022-01-26,item_1,157.9,71
2022-01-26,item_2,452.39,19
2022-01-27,item_1,151.48,65
2022-01-27,item_2,446.07,12
2022-01-28,item_1,150.55,73
2022-01-28,item_2,449.4,11
2022-01-29,item_1,147.42,68
2022-01-29,item_2,468.9,12
2022-01-30,item_1,152.1,70
2022-01-30,item_2,447.78,20
2022-01-31,item_1,148.27,69
2022-01-31,item_2,446.77,14
2022-02-01,item_1,150.37,82
2022-02-01,item_2,444.17,23
2022-02-02,item_1,157.68,73
2022-02-02,item_2,456.7,14
2022-02-03,item_1,149.71,68
2022-02-03,item_2,448.37,16
2022-02-04,item_1,153.45,77
2022-02-04,item_2,444.16,20
2022-02-05,item_1,147.89,68
2022-02-05,item_2,461.89,21
2022-02-06,item_1,149.9,75
2022-02-06,item_2,462.78,21
2022-02-07,item_1,155.31,65
2022-02-07,item_2,444.6,19
2022-02-08,item_1,148.12,68
2022-02-08,item_2,433.2,18
2022-02-09,item_1,155.44,76
2022-02-09,item_2,459.07,17
2022-02-10,item_1,152.12,79
2022-02-10,item_2,443.84,17
2022-02-11,item_1,148.31,76
2022-02-11,item_2,457.12,13
2022-02-12,item_1,151.9,75
2022-02-12,item_2,432.27,12
2022-02-13,item_1,152.92,75
2022-02-13,item_2,458.03,14
2022-02-14,item_1,151.87,69
2022-02-14,item_2,439.1,14
2022-02-15,item_1,145.29,73
2022-02-15,item_2,456.58,13
